country,food_name,description,url
Bahamas,Bahama Mama,Per 1 link - Calories: 250kcal | Fat: 23.00g | Carbs: 2.00g | Protein: 11.00g,https://foods.fatsecret.com/calories-nutrition/schmidts/bahama-mama
Bahamas,Bahama Mama,Per 1 serving - Calories: 360kcal | Fat: 0.00g | Carbs: 61.00g | Protein: 0.00g,https://foods.fatsecret.com/calories-nutrition/red-lobster/bahama-mama
Bahamas,Bahama Mama Smoothie,Per 1 serving - Calories: 540kcal | Fat: 5.00g | Carbs: 125.00g | Protein: 3.00g,https://foods.fatsecret.com/calories-nutrition/tropical-smoothie-cafe/bahama-mama-smoothie
Bahamas,Escapes Bahama Mama,Per 1 bottle - Calories: 150kcal | Fat: 0.00g | Carbs: 39.00g | Protein: 0.00g,https://foods.fatsecret.com/calories-nutrition/seagrams/escapes-bahama-mama
Bahamas,Captain Bahama Mama,Per 1 serving - Calories: 280kcal | Fat: 0.00g | Carbs: 41.00g | Protein: 1.00g,https://foods.fatsecret.com/calories-nutrition/applebees/captain-bahama-mama
Bahamas,Bahama Mama Bowl,Per 1 serving - Calories: 400kcal | Fat: 11.00g | Carbs: 75.00g | Protein: 3.00g,https://foods.fatsecret.com/calories-nutrition/tropical-smoothie-cafe/bahama-mama-bowl
Bahamas,Bahama Mama Frozen Cocktail,Per 1 pouch - Calories: 240kcal | Fat: 0.00g | Carbs: 39.00g | Protein: 0.00g,https://foods.fatsecret.com/calories-nutrition/dailys/bahama-mama-frozen-cocktail
Bahamas,Rice Burger,Per 1 patty - Calories: 140kcal | Fat: 5.00g | Carbs: 19.00g | Protein: 4.00g,https://foods.fatsecret.com/calories-nutrition/bahama/rice-burger
Bahamas,Jumbo Calamari in Sunflower Oil,Per 1 can - Calories: 290kcal | Fat: 25.00g | Carbs: 1.00g | Protein: 16.00g,https://foods.fatsecret.com/calories-nutrition/bajamar/jumbo-calamari-in-sunflower-oil
Bahamas,Firecracker Shrimp,Per 1 serving - Calories: 1350kcal | Fat: 99.00g | Carbs: 76.00g | Protein: 39.00g,https://foods.fatsecret.com/calories-nutrition/bahama-breeze/firecracker-shrimp
